"['n1', 'n2', 'L2', 'n3', 'L3', 'M3', 'n4', 'L4', 'M4']",lifetime_i
"[0, 1, 1, 0, 0, 0, 2, 2, 2]",0.2029147995998859
"[0, 1, 1, 0, 0, 0, 3, 1, 0]",0.12657472178759804
"[0, 1, 1, 0, 0, 0, 3, 1, 1]",0.1214250805308063
"[0, 1, 1, 0, 0, 0, 3, 3, 1]",0.11444940193569204
"[0, 1, 1, 0, 0, 0, 3, 3, 3]",0.11984196384480482
"[0, 1, 1, 0, 0, 0, 4, 0, 0]",0.08308840941445587
"[0, 1, 1, 0, 0, 0, 4, 2, 1]",0.0829195267862102
"[0, 1, 1, 0, 0, 0, 4, 2, 2]",0.07997849094655596
"[0, 1, 1, 0, 0, 0, 4, 4, 0]",0.07036399838254438
"[0, 1, 1, 0, 0, 0, 4, 4, 1]",0.07636241877024152
"[0, 1, 1, 0, 0, 0, 4, 4, 2]",0.08392170719942708
"[0, 1, 1, 0, 0, 0, 4, 4, 3]",0.07800663723917871
"[0, 1, 1, 0, 0, 0, 5, 1, 0]",0.06417050692414585
"[0, 1, 1, 0, 0, 0, 5, 1, 1]",0.060263786963018935
"[0, 1, 1, 0, 0, 0, 5, 3, 1]",0.06374051963314002
"[0, 1, 1, 0, 0, 0, 5, 3, 2]",0.055114073532577204
"[0, 1, 1, 0, 0, 0, 5, 3, 3]",0.0635933696019279
"[0, 1, 1, 0, 0, 0, 5, 5, 1]",0.06203612677773273
"[0, 1, 1, 0, 0, 0, 5, 5, 3]",0.058453813213489934
"[0, 1, 1, 0, 0, 0, 5, 5, 5]",0.05803265640366119
"[0, 1, 1, 0, 0, 0, 6, 0, 0]",0.03813961321211186
"[0, 1, 1, 0, 0, 0, 6, 2, 1]",0.03488028141110294
"[0, 1, 1, 0, 0, 0, 6, 2, 2]",0.037940644469035015
"[0, 1, 1, 0, 0, 0, 6, 4, 0]",0.040464097709035356
"[0, 1, 1, 0, 0, 0, 6, 4, 1]",0.03594225344714927
"[0, 1, 1, 0, 0, 0, 6, 4, 2]",0.04150454614558062
"[0, 1, 1, 0, 0, 0, 6, 4, 3]",0.0390833574234024
