"['State', 'v', 'Lambda', 'Sigma', 'Omega']",lifetime_i
"['D4Delta', 17, 2.0, -0.5, 1.5]",1.848343813924182e-05
"['D4Delta', 17, 2.0, 0.5, 2.5]",1.8539653103098593e-05
"['D4Delta', 17, 2.0, 1.5, 3.5]",1.8807800045291743e-05
"['D4Delta', 18, -2.0, -1.5, -3.5]",2.0419885151825346e-05
"['D4Delta', 18, -2.0, -0.5, -2.5]",2.0151973189190754e-05
"['D4Delta', 18, -2.0, 0.5, -1.5]",2.0070534051411397e-05
"['D4Delta', 18, -2.0, 1.5, -0.5]",2.000673063171337e-05
"['D4Delta', 18, 2.0, -1.5, 0.5]",2.0018364643456215e-05
"['D4Delta', 18, 2.0, -0.5, 1.5]",2.00796341748572e-05
"['D4Delta', 18, 2.0, 0.5, 2.5]",2.0148824301552293e-05
"['D4Delta', 18, 2.0, 1.5, 3.5]",2.041994296390539e-05
"['D4Delta', 19, -2.0, -1.5, -3.5]",2.4118193245390977e-05
"['D4Delta', 19, -2.0, -0.5, -2.5]",2.1932216547046224e-05
"['D4Delta', 19, -2.0, 0.5, -1.5]",2.1762954899588837e-05
"['D4Delta', 19, -2.0, 1.5, -0.5]",2.165005244663242e-05
"['D4Delta', 19, 2.0, -1.5, 0.5]",2.1662105030249665e-05
"['D4Delta', 19, 2.0, -0.5, 1.5]",2.176477341828731e-05
"['D4Delta', 19, 2.0, 0.5, 2.5]",2.1932984807578564e-05
"['D4Delta', 19, 2.0, 1.5, 3.5]",2.4118194478705094e-05
"['D4Delta', 20, -2.0, -1.5, -3.5]",3.3643498928029794e-05
"['D4Delta', 20, -2.0, -0.5, -2.5]",2.5074411260657007e-05
"['D4Delta', 20, -2.0, 0.5, -1.5]",2.478874650376109e-05
"['D4Delta', 20, -2.0, 1.5, -0.5]",2.460730059216678e-05
"['D4Delta', 20, 2.0, -1.5, 0.5]",2.4612144689860453e-05
"['D4Delta', 20, 2.0, -0.5, 1.5]",2.479999882874887e-05
"['D4Delta', 20, 2.0, 0.5, 2.5]",2.5075055647533026e-05
"['D4Delta', 20, 2.0, 1.5, 3.5]",3.3643601450108504e-05
"['D4Delta', 21, -2.0, -1.5, -3.5]",4.6415523626918696e-05
"['D4Delta', 21, -2.0, -0.5, -2.5]",3.131755590648913e-05
"['D4Delta', 21, -2.0, 0.5, -1.5]",3.081813941301478e-05
"['D4Delta', 21, -2.0, 1.5, -0.5]",3.0484632038832477e-05
"['D4Delta', 21, 2.0, -1.5, 0.5]",3.0475461539049375e-05
"['D4Delta', 21, 2.0, -0.5, 1.5]",3.08257454587644e-05
"['D4Delta', 21, 2.0, 0.5, 2.5]",3.131817223725095e-05
"['D4Delta', 21, 2.0, 1.5, 3.5]",4.641554352939954e-05
"['D4Delta', 22, -2.0, -1.5, -3.5]",7.23971114002005e-05
"['D4Delta', 22, -2.0, -0.5, -2.5]",4.3114943119721494e-05
"['D4Delta', 22, -2.0, 0.5, -1.5]",4.222879924683438e-05
"['D4Delta', 22, -2.0, 1.5, -0.5]",4.167152167961874e-05
"['D4Delta', 22, 2.0, -1.5, 0.5]",4.1682362702333206e-05
"['D4Delta', 22, 2.0, -0.5, 1.5]",4.223355915793118e-05
"['D4Delta', 22, 2.0, 0.5, 2.5]",4.311560365560012e-05
"['D4Delta', 22, 2.0, 1.5, 3.5]",7.239718894997743e-05
"['D4Delta', 23, -2.0, -1.5, -3.5]",0.00012286303919403538
"['D4Delta', 23, -2.0, -0.5, -2.5]",6.48295908789302e-05
"['D4Delta', 23, -2.0, 0.5, -1.5]",6.328925821647702e-05
"['D4Delta', 23, -2.0, 1.5, -0.5]",6.233380189997558e-05
"['D4Delta', 23, 2.0, -1.5, 0.5]",6.23427743011598e-05
"['D4Delta', 23, 2.0, -0.5, 1.5]",6.329736328264178e-05
"['D4Delta', 23, 2.0, 0.5, 2.5]",6.483028251921744e-05
"['D4Delta', 23, 2.0, 1.5, 3.5]",0.00012286333661411385
"['D4Delta', 24, -2.0, -1.5, -3.5]",0.00022191475732813264
"['D4Delta', 24, -2.0, -0.5, -2.5]",0.00010498600649398791
"['D4Delta', 24, -2.0, 0.5, -1.5]",0.000102484864872401
"['D4Delta', 24, -2.0, 1.5, -0.5]",0.00010076203278559453
"['D4Delta', 24, 2.0, -1.5, 0.5]",0.00010077882378356876
"['D4Delta', 24, 2.0, -0.5, 1.5]",0.00010249694096725137
"['D4Delta', 24, 2.0, 0.5, 2.5]",0.00010498693244150171
"['D4Delta', 24, 2.0, 1.5, 3.5]",0.00022191483287860075
"['D4Delta', 25, -2.0, -1.5, -3.5]",0.0004135697422058135
"['D4Delta', 25, -2.0, -0.5, -2.5]",0.0001815006641599083
"['D4Delta', 25, -2.0, 0.5, -1.5]",0.0001770719426676932
"['D4Delta', 25, -2.0, 1.5, -0.5]",0.00017368788847573594
"['D4Delta', 25, 2.0, -1.5, 0.5]",0.00017372478750985487
"['D4Delta', 25, 2.0, -0.5, 1.5]",0.00017709521369371417
"['D4Delta', 25, 2.0, 0.5, 2.5]",0.0001815020960713034
"['D4Delta', 25, 2.0, 1.5, 3.5]",0.00042120054130660646
"['D4Delta', 26, -2.0, -1.5, -3.5]",0.0008318168504980399
"['D4Delta', 26, -2.0, -0.5, -2.5]",0.00033047997667276795
"['D4Delta', 26, -2.0, 0.5, -1.5]",0.00032205591525779275
"['D4Delta', 26, -2.0, 1.5, -0.5]",0.0003154465884540753
"['D4Delta', 26, 2.0, -1.5, 0.5]",0.0003155526810258011
"['D4Delta', 26, 2.0, -0.5, 1.5]",0.0003221167240572479
"['D4Delta', 26, 2.0, 0.5, 2.5]",0.00032526168218880775
"['D4Delta', 26, 2.0, 1.5, 3.5]",0.0008318304033052226
"['D4Delta', 27, -2.0, -1.5, -3.5]",0.0016938019210854759
"['D4Delta', 27, -2.0, -0.5, -2.5]",0.0006294861818626791
"['D4Delta', 27, -2.0, 0.5, -1.5]",0.0006087136054687769
"['D4Delta', 27, -2.0, 1.5, -0.5]",0.0005968725420911826
"['D4Delta', 27, 2.0, -1.5, 0.5]",0.0005971410282286496
"['D4Delta', 27, 2.0, -0.5, 1.5]",0.0006061628044043383
"['D4Delta', 27, 2.0, 0.5, 2.5]",0.0006294597180000953
"['D4Delta', 27, 2.0, 1.5, 3.5]",0.0016938081473653465
"['D4Delta', 28, -2.0, -1.5, -3.5]",0.0035297616738498194
"['D4Delta', 28, -2.0, -0.5, -2.5]",0.001237613260621212
"['D4Delta', 28, -2.0, 0.5, -1.5]",0.0013143079491082887
"['D4Delta', 28, -2.0, 1.5, -0.5]",0.001166846899574848
"['D4Delta', 28, 2.0, -1.5, 0.5]",0.0011622801762425881
"['D4Delta', 28, 2.0, -0.5, 1.5]",0.0015308604079632825
"['D4Delta', 28, 2.0, 0.5, 2.5]",0.0012376423262501356
"['D4Delta', 28, 2.0, 1.5, 3.5]",0.0035297741080999524
"['D4Delta', 29, -2.0, -1.5, -3.5]",0.0074683869846703995
"['D4Delta', 29, -2.0, -0.5, -2.5]",0.0024975117026393863
"['D4Delta', 29, -2.0, 0.5, -1.5]",0.002413008440081706
"['D4Delta', 29, -2.0, 1.5, -0.5]",0.002318668102275031
"['D4Delta', 29, 2.0, -1.5, 0.5]",0.002214898588240329
"['D4Delta', 29, 2.0, -0.5, 1.5]",0.0024152686082583312
"['D4Delta', 29, 2.0, 0.5, 2.5]",0.0024976262996261704
"['D4Delta', 29, 2.0, 1.5, 3.5]",0.007468411945152049
"['D4Delta', 30, -2.0, -1.5, -3.5]",0.016137257378261893
"['D4Delta', 30, -2.0, -0.5, -2.5]",0.005132859052093905
"['D4Delta', 30, -2.0, 0.5, -1.5]",0.004932503980358073
"['D4Delta', 30, -2.0, 1.5, -0.5]",0.004704781507336023
"['D4Delta', 30, 2.0, -1.5, 0.5]",0.004719855387945725
"['D4Delta', 30, 2.0, -0.5, 1.5]",0.0049417108772698455
"['D4Delta', 30, 2.0, 0.5, 2.5]",0.005133253974921309
"['D4Delta', 30, 2.0, 1.5, 3.5]",0.016137313063764754
"['D4Delta', 31, -2.0, -1.5, -3.5]",0.03440427433251758
"['D4Delta', 31, -2.0, -0.5, -2.5]",0.010619862803181754
"['D4Delta', 31, -2.0, 0.5, -1.5]",0.010161606468688904
"['D4Delta', 31, -2.0, 1.5, -0.5]",0.009519263117307662
"['D4Delta', 31, 2.0, -1.5, 0.5]",0.009600818851881377
"['D4Delta', 31, 2.0, -0.5, 1.5]",0.010198281061868613
"['D4Delta', 31, 2.0, 0.5, 2.5]",0.01062128402393999
"['D4Delta', 31, 2.0, 1.5, 3.5]",0.034398289216339195
"['D4Delta', 32, -2.0, -1.5, -3.5]",0.052503731979880446
"['D4Delta', 32, -2.0, -0.5, -2.5]",0.022150275924160696
"['D4Delta', 32, -2.0, 0.5, -1.5]",0.02069295886797719
"['D4Delta', 32, -2.0, 1.5, -0.5]",0.0189849397838465
"['D4Delta', 32, 2.0, -1.5, 0.5]",0.019252808335690378
"['D4Delta', 32, 2.0, -0.5, 1.5]",0.020819303607420788
"['D4Delta', 32, 2.0, 0.5, 2.5]",0.022008388681802764
"['D4Delta', 32, 2.0, 1.5, 3.5]",0.07045581920403853
"['D4Delta', 33, -2.0, -1.5, -3.5]",0.14854897768774714
"['D4Delta', 33, -2.0, -0.5, -2.5]",0.04064487203963376
"['D4Delta', 33, -2.0, 0.5, -1.5]",0.04134489038345463
"['D4Delta', 33, -2.0, 1.5, -0.5]",0.03708574947301151
"['D4Delta', 33, 2.0, -1.5, 0.5]",0.037654271053316
"['D4Delta', 33, 2.0, -0.5, 1.5]",0.040589415812557615
"['D4Delta', 33, 2.0, 0.5, 2.5]",0.029661046684100238
"['D4Delta', 33, 2.0, 1.5, 3.5]",0.148594536231848
"['D4Delta', 34, -2.0, -1.5, -3.5]",0.29858307150384106
"['D4Delta', 34, -2.0, -0.5, -2.5]",0.089366598181381
"['D4Delta', 34, -2.0, 0.5, -1.5]",0.034524972513577466
"['D4Delta', 34, -2.0, 1.5, -0.5]",0.06980893540844245
"['D4Delta', 34, 2.0, -1.5, 0.5]",0.06951373585754211
"['D4Delta', 34, 2.0, -0.5, 1.5]",0.07740993046333947
"['D4Delta', 34, 2.0, 0.5, 2.5]",0.08933914426221526
"['D4Delta', 34, 2.0, 1.5, 3.5]",0.29861477509589324
"['D4Delta', 35, -2.0, -1.5, -3.5]",0.565358926718606
"['D4Delta', 35, -2.0, -0.5, -2.5]",0.16815987275834743
"['D4Delta', 35, -2.0, 0.5, -1.5]",0.13938120082295688
"['D4Delta', 35, -2.0, 1.5, -0.5]",0.03177459648324481
"['D4Delta', 35, 2.0, -1.5, 0.5]",0.0942347150841609
"['D4Delta', 35, 2.0, -0.5, 1.5]",0.1419883364601012
"['D4Delta', 35, 2.0, 0.5, 2.5]",0.16822441840475066
"['D4Delta', 35, 2.0, 1.5, 3.5]",0.5653881846169795
"['D4Delta', 36, -2.0, -1.5, -3.5]",0.9591999880250299
"['D4Delta', 36, -2.0, -0.5, -2.5]",0.2787955020090832
"['D4Delta', 36, -2.0, 0.5, -1.5]",0.22407129435416134
"['D4Delta', 36, -2.0, 1.5, -0.5]",0.17672065333049788
"['D4Delta', 36, 2.0, -1.5, 0.5]",0.21066749694470577
"['D4Delta', 36, 2.0, -0.5, 1.5]",0.22818396168846147
"['D4Delta', 36, 2.0, 0.5, 2.5]",0.27895315769859114
"['D4Delta', 36, 2.0, 1.5, 3.5]",0.9590230004042907
"['D4Delta', 37, -2.0, -1.5, -3.5]",0.2642469499007164
"['D4Delta', 37, -2.0, -0.5, -2.5]",0.40031964146765064
"['D4Delta', 37, -2.0, 0.5, -1.5]",0.33320526908787523
"['D4Delta', 37, -2.0, 1.5, -0.5]",0.2794177339392888
"['D4Delta', 37, 2.0, -1.5, 0.5]",0.31396897965036424
"['D4Delta', 37, 2.0, -0.5, 1.5]",0.3418744312052473
"['D4Delta', 37, 2.0, 0.5, 2.5]",0.39972361841902276
"['D4Delta', 37, 2.0, 1.5, 3.5]",0.0030440825942968128
"['D4Delta', 38, -2.0, -1.5, -3.5]",1.9256788147546582
"['D4Delta', 38, -2.0, -0.5, -2.5]",0.004269201813480696
"['D4Delta', 38, -2.0, 0.5, -1.5]",0.41978848596776364
"['D4Delta', 38, -2.0, 1.5, -0.5]",0.39781333991906676
"['D4Delta', 38, 2.0, -1.5, 0.5]",0.4164525121481378
"['D4Delta', 38, 2.0, -0.5, 1.5]",0.398831679071689
"['D4Delta', 38, 2.0, 0.5, 2.5]",0.053061252605703914
"['D4Delta', 38, 2.0, 1.5, 3.5]",1.9306624214822805
"['D4Delta', 39, -2.0, -1.5, -3.5]",2.612208299149081
"['D4Delta', 39, -2.0, -0.5, -2.5]",0.6148664373623848
"['D4Delta', 39, -2.0, 0.5, -1.5]",0.08002533257994213
"['D4Delta', 39, -2.0, 1.5, -0.5]",0.5310130392941823
"['D4Delta', 39, 2.0, -1.5, 0.5]",0.4803563858658419
"['D4Delta', 39, 2.0, -0.5, 1.5]",0.0469734819204432
"['D4Delta', 39, 2.0, 0.5, 2.5]",0.6098388834129433
"['D4Delta', 39, 2.0, 1.5, 3.5]",2.613329668683122
"['D4Delta', 40, -2.0, -1.5, -3.5]",3.3281029011729046
"['D4Delta', 40, -2.0, -0.5, -2.5]",0.7005158432150635
"['D4Delta', 40, -2.0, 0.5, -1.5]",0.5128615228003639
"['D4Delta', 40, -2.0, 1.5, -0.5]",0.08217411675454758
"['D4Delta', 40, 2.0, -1.5, 0.5]",0.07490702946174442
"['D4Delta', 40, 2.0, -0.5, 1.5]",0.5236754180349713
"['D4Delta', 40, 2.0, 0.5, 2.5]",0.6997508815863442
"['D4Delta', 40, 2.0, 1.5, 3.5]",3.3280769327802067
"['D4Delta', 41, -2.0, -1.5, -3.5]",2.8922027054623634
"['D4Delta', 41, -2.0, -0.5, -2.5]",0.7978029135719776
"['D4Delta', 41, -2.0, 0.5, -1.5]",0.6350457273075081
"['D4Delta', 41, -2.0, 1.5, -0.5]",0.19526790800299246
"['D4Delta', 41, 2.0, -1.5, 0.5]",0.7474530458248971
"['D4Delta', 41, 2.0, -0.5, 1.5]",0.6444927346256231
"['D4Delta', 41, 2.0, 0.5, 2.5]",0.7971691230139573
"['D4Delta', 41, 2.0, 1.5, 3.5]",2.5603327738479638
"['D4Delta', 42, -2.0, -1.5, -3.5]",4.4484156226743465
"['D4Delta', 42, -2.0, -0.5, -2.5]",0.7101871256274562
"['D4Delta', 42, -2.0, 0.5, -1.5]",0.700411523349998
"['D4Delta', 42, -2.0, 1.5, -0.5]",0.7703661165469048
"['D4Delta', 42, 2.0, -1.5, 0.5]",0.8064643315816117
"['D4Delta', 42, 2.0, -0.5, 1.5]",0.6262188795376602
"['D4Delta', 42, 2.0, 0.5, 2.5]",0.6193121677824731
"['D4Delta', 42, 2.0, 1.5, 3.5]",4.884023342661264
"['D4Delta', 43, -2.0, -1.5, -3.5]",8.096650038256382
"['D4Delta', 43, -2.0, -0.5, -2.5]",0.6219091289579324
"['D4Delta', 43, -2.0, 0.5, -1.5]",0.37991223768028837
"['D4Delta', 43, -2.0, 1.5, -0.5]",0.009205863293630026
"['D4Delta', 43, 2.0, -1.5, 0.5]",0.005938560221573767
"['D4Delta', 43, 2.0, -0.5, 1.5]",0.4052461895378173
"['D4Delta', 43, 2.0, 0.5, 2.5]",0.6105967608980157
"['D4Delta', 43, 2.0, 1.5, 3.5]",8.114672257779992
"['D4Delta', 44, -2.0, -1.5, -3.5]",11.494688905420032
"['D4Delta', 44, -2.0, -0.5, -2.5]",1.1485829650477961
"['D4Delta', 44, -2.0, 0.5, -1.5]",0.18121089403517365
"['D4Delta', 44, -2.0, 1.5, -0.5]",1.0828106126181847
"['D4Delta', 44, 2.0, -1.5, 0.5]",0.8358622028461696
"['D4Delta', 44, 2.0, -0.5, 1.5]",0.28753398426716803
"['D4Delta', 44, 2.0, 0.5, 2.5]",1.145987740919572
"['D4Delta', 44, 2.0, 1.5, 3.5]",11.494150441368195
"['D4Delta', 45, -2.0, -1.5, -3.5]",6.718243633221426
"['D4Delta', 45, -2.0, -0.5, -2.5]",1.35254023675328
"['D4Delta', 45, -2.0, 0.5, -1.5]",0.9923215092262226
"['D4Delta', 45, -2.0, 1.5, -0.5]",0.005933977500825289
"['D4Delta', 45, 2.0, -1.5, 0.5]",0.3321588450865388
"['D4Delta', 45, 2.0, -0.5, 1.5]",0.9882193872202348
"['D4Delta', 45, 2.0, 0.5, 2.5]",1.3505625624620738
"['D4Delta', 45, 2.0, 1.5, 3.5]",1.1248171525861195
"['D4Delta', 46, -2.0, -1.5, -3.5]",19.821914573336684
"['D4Delta', 46, -2.0, -0.5, -2.5]",1.0344491806221363
"['D4Delta', 46, -2.0, 0.5, -1.5]",1.1978735154783928
"['D4Delta', 46, -2.0, 1.5, -0.5]",0.81300689268797
"['D4Delta', 46, 2.0, -1.5, 0.5]",1.7100266291228003
"['D4Delta', 46, 2.0, -0.5, 1.5]",1.188437268146447
"['D4Delta', 46, 2.0, 0.5, 2.5]",0.8122365565340103
"['D4Delta', 46, 2.0, 1.5, 3.5]",21.27199135083483
"['D4Delta', 47, -2.0, -1.5, -3.5]",44.3322037315078
"['D4Delta', 47, -2.0, -0.5, -2.5]",1.2626567161858435
"['D4Delta', 47, -2.0, 0.5, -1.5]",1.3625903339650127
"['D4Delta', 47, -2.0, 1.5, -0.5]",1.8319117047204718
"['D4Delta', 47, 2.0, -1.5, 0.5]",1.9124084868025553
"['D4Delta', 47, 2.0, -0.5, 1.5]",0.9390805541086688
"['D4Delta', 47, 2.0, 0.5, 2.5]",1.2267011757353812
"['D4Delta', 47, 2.0, 1.5, 3.5]",44.43243484980848
"['D4Delta', 48, -2.0, -1.5, -3.5]",49.16070731639827
"['D4Delta', 48, -2.0, -0.5, -2.5]",2.2394169368734382
"['D4Delta', 48, -2.0, 0.5, -1.5]",0.2800161342088626
"['D4Delta', 48, -2.0, 1.5, -0.5]",2.364521729069732
"['D4Delta', 48, 2.0, -1.5, 0.5]",1.7545167650415787
"['D4Delta', 48, 2.0, -0.5, 1.5]",0.05853501880733235
"['D4Delta', 48, 2.0, 0.5, 2.5]",2.2335737506635183
"['D4Delta', 48, 2.0, 1.5, 3.5]",48.41621637287263
"['D4Delta', 49, -2.0, -1.5, -3.5]",1.858137339274246
"['D4Delta', 49, -2.0, -0.5, -2.5]",2.570996100775019
"['D4Delta', 49, -2.0, 0.5, -1.5]",1.7655006405525688
"['D4Delta', 49, -2.0, 1.5, -0.5]",0.7150816451964833
"['D4Delta', 49, 2.0, -1.5, 0.5]",0.028945270939350058
"['D4Delta', 49, 2.0, -0.5, 1.5]",1.7559161695821903
"['D4Delta', 49, 2.0, 0.5, 2.5]",2.542676873149754
"['D4Delta', 49, 2.0, 1.5, 3.5]",11.178153720439244
"['D4Delta', 50, -2.0, 0.5, -1.5]",2.4226571523423184
"['D4Delta', 50, -2.0, 1.5, -0.5]",0.3110312861686964
"['D4Delta', 50, 2.0, -1.5, 0.5]",3.016881175790875
"['D4Delta', 50, 2.0, -0.5, 1.5]",2.3203457851189353
"['X4Sigma-', 0, 0.0, -1.5, -1.5]",31.91800086836113
"['X4Sigma-', 0, 0.0, -0.5, -0.5]",25.861181149117332
"['X4Sigma-', 0, 0.0, 0.5, 0.5]",inf
"['X4Sigma-', 0, 0.0, 1.5, 1.5]",28.689609029518707
"['X4Sigma-', 1, 0.0, -1.5, -1.5]",0.05313746672088534
"['X4Sigma-', 1, 0.0, -0.5, -0.5]",0.053154492154714
"['X4Sigma-', 1, 0.0, 0.5, 0.5]",0.053128065590037
"['X4Sigma-', 1, 0.0, 1.5, 1.5]",0.05314650378510835
"['X4Sigma-', 2, 0.0, -1.5, -1.5]",0.0269185570246824
"['X4Sigma-', 2, 0.0, -0.5, -0.5]",0.026931950318914027
"['X4Sigma-', 2, 0.0, 0.5, 0.5]",0.026910767034870383
"['X4Sigma-', 2, 0.0, 1.5, 1.5]",0.026925281360173022
"['X4Sigma-', 3, 0.0, -1.5, -1.5]",0.018174190211148532
"['X4Sigma-', 3, 0.0, -0.5, -0.5]",0.018185154131231857
"['X4Sigma-', 3, 0.0, 0.5, 0.5]",0.01816920275367075
"['X4Sigma-', 3, 0.0, 1.5, 1.5]",0.018179455824727526
"['X4Sigma-', 4, 0.0, -1.5, -1.5]",0.013805152735802791
"['X4Sigma-', 4, 0.0, -0.5, -0.5]",0.013813749580625681
"['X4Sigma-', 4, 0.0, 0.5, 0.5]",0.013800871469068443
"['X4Sigma-', 4, 0.0, 1.5, 1.5]",0.013809102381057621
"['X4Sigma-', 5, 0.0, -1.5, -1.5]",0.011186379640234294
"['X4Sigma-', 5, 0.0, -0.5, -0.5]",0.011193693969246878
"['X4Sigma-', 5, 0.0, 0.5, 0.5]",0.011183068197186043
"['X4Sigma-', 5, 0.0, 1.5, 1.5]",0.011189991707087007
"['X4Sigma-', 6, 0.0, -1.5, -1.5]",0.009443602618106707
"['X4Sigma-', 6, 0.0, -0.5, -0.5]",0.009449958887043287
"['X4Sigma-', 6, 0.0, 0.5, 0.5]",0.0094407156262309
"['X4Sigma-', 6, 0.0, 1.5, 1.5]",0.009446631994513437
"['X4Sigma-', 7, 0.0, -1.5, -1.5]",0.008201265293882395
"['X4Sigma-', 7, 0.0, -0.5, -0.5]",0.008206957002212396
"['X4Sigma-', 7, 0.0, 0.5, 0.5]",0.008198765819717136
"['X4Sigma-', 7, 0.0, 1.5, 1.5]",0.008203928687437296
"['X4Sigma-', 8, 0.0, -1.5, -1.5]",0.007271902897352005
"['X4Sigma-', 8, 0.0, -0.5, -0.5]",0.007277015907879239
"['X4Sigma-', 8, 0.0, 0.5, 0.5]",0.0072697625740391035
"['X4Sigma-', 8, 0.0, 1.5, 1.5]",0.007274301433676292
"['X4Sigma-', 9, 0.0, -1.5, -1.5]",0.006551307668719158
"['X4Sigma-', 9, 0.0, -0.5, -0.5]",0.006555993748228625
"['X4Sigma-', 9, 0.0, 0.5, 0.5]",0.006549389056322832
"['X4Sigma-', 9, 0.0, 1.5, 1.5]",0.0065534679760474515
"['X4Sigma-', 10, 0.0, -1.5, -1.5]",0.005976887116635624
"['X4Sigma-', 10, 0.0, -0.5, -0.5]",0.005981189834619374
"['X4Sigma-', 10, 0.0, 0.5, 0.5]",0.0059751063855055814
"['X4Sigma-', 10, 0.0, 1.5, 1.5]",0.00597889538152569
"['X4Sigma-', 11, 0.0, -1.5, -1.5]",0.005508787288480594
"['X4Sigma-', 11, 0.0, -0.5, -0.5]",0.005512878854039896
"['X4Sigma-', 11, 0.0, 0.5, 0.5]",0.005507186978682358
"['X4Sigma-', 11, 0.0, 1.5, 1.5]",0.005510669990281922
"['X4Sigma-', 12, 0.0, -1.5, -1.5]",0.005120578495422037
"['X4Sigma-', 12, 0.0, -0.5, -0.5]",0.005124431491622021
"['X4Sigma-', 12, 0.0, 0.5, 0.5]",0.005119093656737819
"['X4Sigma-', 12, 0.0, 1.5, 1.5]",0.0051223111858735935
"['X4Sigma-', 13, 0.0, -1.5, -1.5]",0.004793866160656988
"['X4Sigma-', 13, 0.0, -0.5, -0.5]",0.004797491566782067
"['X4Sigma-', 13, 0.0, 0.5, 0.5]",0.004792468903265122
"['X4Sigma-', 13, 0.0, 1.5, 1.5]",0.004795471130714591
"['X4Sigma-', 14, 0.0, -1.5, -1.5]",0.004515434378485292
"['X4Sigma-', 14, 0.0, -0.5, -0.5]",0.004518909981466951
"['X4Sigma-', 14, 0.0, 0.5, 0.5]",0.004514132352105223
"['X4Sigma-', 14, 0.0, 1.5, 1.5]",0.004516996265410353
"['X4Sigma-', 15, 0.0, -1.5, -1.5]",0.004275792563430391
"['X4Sigma-', 15, 0.0, -0.5, -0.5]",0.004279100571098639
"['X4Sigma-', 15, 0.0, 0.5, 0.5]",0.0042745859627553095
"['X4Sigma-', 15, 0.0, 1.5, 1.5]",0.004277260182210092
"['X4Sigma-', 16, 0.0, -1.5, -1.5]",0.004067646350827847
"['X4Sigma-', 16, 0.0, -0.5, -0.5]",0.004070859090083533
"['X4Sigma-', 16, 0.0, 0.5, 0.5]",0.004066504375375259
"['X4Sigma-', 16, 0.0, 1.5, 1.5]",0.0040690209308310065
"['X4Sigma-', 17, 0.0, -1.5, -1.5]",0.0038855178534919254
"['X4Sigma-', 17, 0.0, -0.5, -0.5]",0.003888602044033144
"['X4Sigma-', 17, 0.0, 0.5, 0.5]",0.0038844476585881372
"['X4Sigma-', 17, 0.0, 1.5, 1.5]",0.0038868299278028828
"['X4Sigma-', 18, 0.0, -1.5, -1.5]",0.0037251049505235938
"['X4Sigma-', 18, 0.0, -0.5, -0.5]",0.0037280893547206625
"['X4Sigma-', 18, 0.0, 0.5, 0.5]",0.0037241072718485857
"['X4Sigma-', 18, 0.0, 1.5, 1.5]",0.003726361778016879
"['X4Sigma-', 19, 0.0, -1.5, -1.5]",0.0035830269424163225
"['X4Sigma-', 19, 0.0, -0.5, -0.5]",0.0035859070356462665
"['X4Sigma-', 19, 0.0, 0.5, 0.5]",0.0035820723100880177
"['X4Sigma-', 19, 0.0, 1.5, 1.5]",0.0035842477179304057
"['X4Sigma-', 20, 0.0, -1.5, -1.5]",0.003456586416179265
"['X4Sigma-', 20, 0.0, -0.5, -0.5]",0.0034593709589518778
"['X4Sigma-', 20, 0.0, 0.5, 0.5]",0.0034556829352538317
"['X4Sigma-', 20, 0.0, 1.5, 1.5]",0.003457736832756186
"['X4Sigma-', 21, 0.0, -1.5, -1.5]",0.003343589039216835
"['X4Sigma-', 21, 0.0, -0.5, -0.5]",0.0033462567445038697
"['X4Sigma-', 21, 0.0, 0.5, 0.5]",0.0033427539066877908
"['X4Sigma-', 21, 0.0, 1.5, 1.5]",0.00334469350680656
"['X4Sigma-', 22, 0.0, -1.5, -1.5]",0.003242609004449803
"['X4Sigma-', 22, 0.0, -0.5, -0.5]",0.0032452091915179293
"['X4Sigma-', 22, 0.0, 0.5, 0.5]",0.003241771863418811
"['X4Sigma-', 22, 0.0, 1.5, 1.5]",0.0032436720912913213
"['X4Sigma-', 23, 0.0, -1.5, -1.5]",0.006394810045638784
"['X4Sigma-', 23, 0.0, -0.5, -0.5]",0.0063921116548577035
"['X4Sigma-', 23, 0.0, 0.5, 0.5]",0.00639491479877753
"['X4Sigma-', 23, 0.0, 1.5, 1.5]",0.006394050219833464
"['X4Sigma-', 24, 0.0, -1.5, -1.5]",0.021917456685519508
"['X4Sigma-', 24, 0.0, -0.5, -0.5]",0.021879345036904398
"['X4Sigma-', 24, 0.0, 0.5, 0.5]",0.02193178474110346
"['X4Sigma-', 24, 0.0, 1.5, 1.5]",0.021900382724005234
"['X4Sigma-', 25, 0.0, -1.5, -1.5]",0.08571679313969463
"['X4Sigma-', 25, 0.0, -0.5, -0.5]",0.08537406548459786
"['X4Sigma-', 25, 0.0, 0.5, 0.5]",0.0858420210673879
"['X4Sigma-', 25, 0.0, 1.5, 1.5]",0.08557402801259131
"['X4Sigma-', 26, 0.0, -1.5, -1.5]",0.3734244175115931
"['X4Sigma-', 26, 0.0, -0.5, -0.5]",0.3712331176743681
"['X4Sigma-', 26, 0.0, 0.5, 0.5]",0.373844062185351
"['X4Sigma-', 26, 0.0, 1.5, 1.5]",0.3727249715141436
"['X4Sigma-', 27, 0.0, -1.5, -1.5]",1.756080267594241
"['X4Sigma-', 27, 0.0, -0.5, -0.5]",1.7055618658653973
"['X4Sigma-', 27, 0.0, 0.5, 0.5]",1.7539950809198324
"['X4Sigma-', 27, 0.0, 1.5, 1.5]",1.7284335263475004
"['X4Sigma-', 28, 0.0, -1.5, -1.5]",8.577342383552482
"['X4Sigma-', 28, 0.0, -0.5, -0.5]",8.125953923486431
